experiment,name,datagen,datareal,loss,model,vgi,filters,length,n_down,f_mult,bn,w_tot,w_tr,w_ntr,mac_3mbv100,ms_3mbv100,pt_lr,pt_ep,pt_sval_psnr,lr,best_chk,epochs,time,t_epoch,b_sval_psnr,b_sval_ssim,b_stest_psnr,b_stest_ssim,b_rval_psnr,b_rval_ssim,b_rtest_psnr,b_rtest_ssim
datagen,simple_noreal,simple_1802,,l1aR_p2vggTaR_excl,SIRRResNet,5,64,10,,,False,16.1,0.793,15.3,1181,177,3e-05,3,23.15,0.0001,best__032__249,41,4.1,6.0,24.91,0.945,,,18.26,0.711,18.98,0.74
datagen,simple_real,simple_1802,0.3,l1aR_p2vggTaR_excl,SIRRResNet,5,64,10,,,False,16.1,0.793,15.3,1181,177,2e-05,3,20.72,0.0001,best__037__245,46,5.0,6.5,24.56,0.94,,,19.4,0.731,19.17,0.739
datagen,adv_noreal,adv_1806,,l1aR_p2vggTaR_excl,SIRRResNet,5,64,10,,,False,16.1,0.793,15.3,1181,177,1e-05,3,17.95,0.0001,best__077__257,79,8.9,6.7,25.77,0.94,,,18.57,0.708,19.23,0.717
datagen,adv_real,adv_1806,0.3,l1aR_p2vggTaR_excl,SIRRResNet,5,64,10,,,False,16.1,0.793,15.3,1181,177,1e-05,3,17.3,0.0001,best__079__241,79,10.0,7.6,24.14,,,,19.56,0.729,19.42,0.728
losses,mset,adv_1806,0.3,mse_T,SIRRResNet,5,64,10,,,False,16.1,0.793,15.3,1181,177,1e-05,3,17.3,0.0001,best__074__242,79,7.0,5.3,24.25,0.883,,,21.04,0.739,19.53,0.72
losses,vggt,adv_1806,0.3,vgg_T,SIRRResNet,5,64,10,,,False,16.1,0.793,15.3,1181,177,1e-05,3,17.3,0.0001,best__074__249,79,8.5,6.4,24.97,0.928,,,20.42,0.741,19.79,0.735
losses,vggtr,adv_1806,0.3,vgg_TaR,SIRRResNet,5,64,10,,,False,16.1,0.793,15.3,1181,177,1e-05,3,17.3,0.0001,best__078__250,79,9.3,7.1,25.09,0.925,,,19.79,0.722,19.65,0.718
losses,l1r_vggtr,adv_1806,0.3,l1aR_p2vggTaR,SIRRResNet,5,64,10,,,False,16.1,0.793,15.3,1181,177,1e-05,3,17.3,0.0001,best__079__249,79,9.4,7.1,24.94,0.92,,,19.67,0.726,19.6,0.725
losses,l1r_vggtr_excltr,adv_1806,0.3,l1aR_p2vggTaR_excl,SIRRResNet,5,64,10,,,False,16.1,0.793,15.3,1181,177,1e-05,3,17.3,0.0001,best__079__241,79,10.0,7.6,24.14,,,,19.56,0.729,19.42,0.728
vgi,vg0,adv_1806,0.3,l1aR_p2vggTaR_excl,SIRRResNet,-1,64,10,,,True,0.742,0.742,0.0,778,162,2e-05,3,16.66,0.0001,best__048__224,57,6.7,7.0,22.43,0.905,,,18.68,0.709,19.16,0.725
vgi,vg1,adv_1806,0.3,l1aR_p2vggTaR_excl,SIRRResNet,1,64,10,,,False,0.792,0.754,0.039,831,143,2e-05,3,17.77,0.0001,best__050__231,59,6.6,6.7,23.2,0.91,,,18.81,0.714,19.22,0.727
vgi,vg2,adv_1806,0.3,l1aR_p2vggTaR_excl,SIRRResNet,2,64,10,,,False,1.0,0.762,0.26,892,152,2e-05,3,18.17,0.0001,best__079__242,79,9.2,7.0,24.23,0.926,,,19.09,0.724,19.25,0.73
vgi,vg3,adv_1806,0.3,l1aR_p2vggTaR_excl,SIRRResNet,3,64,10,,,False,1.9,0.774,1.1,950,158,2e-05,3,18.31,0.0001,best__030__217,39,4.5,6.8,21.74,0.894,,,18.82,0.716,19.61,0.731
vgi,vg4,adv_1806,0.3,l1aR_p2vggTaR_excl,SIRRResNet,4,64,10,,,False,6.7,0.798,5.9,1086,169,3e-05,3,18.47,0.0001,best__077__247,79,9.4,7.2,24.72,0.928,,,19.44,0.733,19.39,0.734
